dri_field_id,all_app,year,area_m2,annual_precip_eff_mm,annual_net_et_mm,pumping_mm,pumping_net_et_factor_annual,pumping_AF
132_8,18242_72370,2018,888724.9487,208.1454084,309.1202789,510.9068698,1.7,368.1092979
23_10,18786_18787_86252_86253,2018,996460.3134,185.8824971,592.5413436,989.4703008,1.7,799.3379687
127,18788_18789,2018,460230.121,175.8687745,482.1546308,540.9889525,1.1,201.8510943
47,18794_31111,2018,496100.9482,175.8687745,398.3295218,269.1494165,0.7,108.2508144
149_30,18834_19052,2018,974741.6237,208.9531263,345.9369384,431.1574844,1.2,340.7164593
173_122,18975_34950,2018,981944.0191,210.7703153,523.2749942,726.9388741,1.4,578.6984192
35_229,18978_42019_42020,2018,954900.5352,171.6883679,641.6370445,473.2476511,0.7,366.3652524
46_229,18981_39553,2018,971151.3766,171.1559329,725.347824,292.1278874,0.4,229.9998861
44_137,18988_80780,2018,1004986.202,208.8058997,649.484571,406.795499,0.6,331.4392298
1,18989_80781,2018,481071.5331,210.7703153,590.2940982,920.1575622,1.6,358.8719638
48,18999_42021,2018,502448.0874,175.8687745,52.70086333,93.9781789,1.8,38.28123104
223_37_69,19014_83615_83616_83617,2018,1564039.786,202.090081,537.7354315,739.209304,1.4,937.3092299
14_20_15_21,19145_29873_30102_36070_50650_81268,2018,1998714.469,217.3508288,515.1795365,1063.044274,2.1,1722.541848
67_61,19191_24214,2018,923158.9682,201.4373129,537.0179107,555.0549252,1,415.4130413
57_56,19192_29765,2018,964236.8648,226.9914611,602.3652944,1099.594495,1.8,859.5753669
146_154,19378_20000_24605,2018,985431.7608,185.1111645,542.8215152,662.318386,1.2,529.1283605
9_131,19492_20015,2018,1051985.859,185.0851516,646.3280057,500.2197195,0.8,426.6172217
74_75,19563_19971_28160,2018,1035844.551,196.6705998,605.9787963,1003.031013,1.7,842.3190448
27_29,19760_28061,2018,1001830.771,208.4810041,516.6437341,691.2163002,1.3,561.4046567
103_100,19904_24609_78905,2018,916970.9172,178.5932509,559.0046197,743.403865,1.3,552.6472957
28,19965_78447,2018,521585.1496,195.9058812,366.5432266,970.9182909,2.6,410.5589967
22,19966_80581,2018,496116.7602,196.167987,690.5807925,1534.692153,2.2,617.2666943
90_71,19972_19973_34948_46348,2018,1017577.838,176.7671725,599.4751966,748.4970398,1.2,617.4835606
184_188,20087_24607,2018,1005446.791,173.4784402,615.1555379,927.0123855,1.5,755.6354107
179_182,20088_24606,2018,990768.2512,173.9918499,573.5615025,868.1802309,1.5,697.3481395
45,20694_21399,2018,506553.4339,228.5448048,593.849816,747.1222387,1.3,306.8206603
160_53,21085_23462_23803,2018,1014827.143,188.7016542,624.1546705,797.351346,1.3,656.0085184
228_39,22648_22921,2018,995480.7869,175.343144,640.2515451,191.3374428,0.3,154.4189235
31,22922_36321_36322,2018,533815.2814,177.0353987,669.555903,754.4531506,1.1,326.5058383
68_185,23272_28641,2018,969341.5545,197.840217,548.4379838,647.7195435,1.2,509.0160831
165_166,24127_24128,2018,1080329.377,175.8687745,617.3615487,700.7839087,1.1,613.7732826
161_191,24129_24130,2018,993254.2394,171.6766351,655.3783758,531.6189122,0.8,428.0835334
6_148_187_190,24262_24263_24264_24265,2018,1958137.71,169.6467728,585.2805207,630.7980152,1.1,1001.385324
55,28035_28036,2018,499698.5761,170.3037405,612.7699143,949.1948158,1.5,384.5308095
181_180,29278_70249,2018,999514.3901,212.7134774,618.5372164,714.6937057,1.2,579.1308246
178,30927_30928,2018,510743.9756,223.2143213,310.1312094,0,0,0
143,31455_81004,2018,514288.876,210.7703153,622.9792506,711.9337809,1.1,296.8345191
4,33668_33669,2018,524721.6388,208.5242037,558.1683071,756.7782372,1.4,321.9328406
3,33670_33671,2018,462084.5578,197.159687,521.9516999,831.781965,1.6,311.6008457
58_59,34596_48225_48226,2018,954984.8725,169.7439905,521.1213721,533.7427935,1,413.2341353
16,34939_48437,2018,532670.3378,224.8670397,573.3429584,870.8127059,1.5,376.0546328
92_17,39156_55535,2018,977699.3701,213.3964857,562.0433059,550.0283463,1,435.9714802
230,39552_39554,2018,520340.3719,170.6246457,561.7956267,827.3049631,1.5,348.9963023
150,40010_40013,2018,515270.5215,212.6970348,542.3404022,1710.590886,3.2,714.5771485
183,40011_40014,2018,502103.8053,197.840217,597.6211912,701.1354381,1.2,285.4060034
134_133,43268_43270_43836,2018,1068425.839,204.5817209,578.8552041,790.1472207,1.4,684.4158717
186,43269_43837_43838_43839_43840,2018,553946.6617,169.7439905,590.9763693,866.8594727,1.5,389.2999264
129_43_63_42,43271_43272_43273_43274,2018,2056839.524,169.6532264,577.5807943,666.4362145,1.2,1111.288118
217_216,44451_44452,2018,1048741.718,224.8670397,521.1181696,671.0972607,1.3,570.5867509
144_112,48871_48872_70587_70588,2018,824286.9765,223.2143213,441.3706051,754.7084015,1.7,504.342185
109_139,50581_50582,2018,930136.0187,237.7682871,583.5626816,762.9180262,1.3,575.2968707
194,77569_81269,2018,493773.6721,175.8687745,577.6400112,546.926915,0.9,218.9398916
110,77646_77695_77696_80718,2018,1035833.602,223.2143213,476.8207634,603.3868829,1.3,506.7030669
213,77666_83567,2018,590187.6449,234.1770797,558.5383815,0,0,0
83_82,78771_78772_78773_78774_78775,2018,986711.298,197.3355971,625.3761287,116.442329,0.2,93.14695387
111_0,80717_80879_80880_80881_80926,2018,620184.9862,204.092547,511.9659508,644.4867962,1.3,324.0432247
78,86032_86033_86035_86037,2018,507471.1176,175.8687745,634.3034618,0.002216494,0,0.000911897
41_40,19541_19542,2018,963365.1053,178.5909013,651.6824572,904.5302959,1.4,706.4504428
