Year,Region,Irrigation_AF,Industrial_AF,Public Supply_AF,Domestic and Stock_AF,Total_AF
1945,Beryl-Enterprise,5941,0,8,51,6000
1946,Beryl-Enterprise,16832,0,24,144,17000
1947,Beryl-Enterprise,20792,0,30,178,21000
1948,Beryl-Enterprise,32674,0,47,279,33000
1949,Beryl-Enterprise,37625,0,54,321,38000
1950,Beryl-Enterprise,50497,0,72,431,51000
1951,Beryl-Enterprise,44557,0,63,380,45000
1952,Beryl-Enterprise,46537,0,66,397,47000
1953,Beryl-Enterprise,49507,0,70,423,50000
1954,Beryl-Enterprise,53467,0,76,457,54000
1955,Beryl-Enterprise,50497,0,72,431,51000
1956,Beryl-Enterprise,59408,0,85,507,60000
1957,Beryl-Enterprise,55448,0,79,473,56000
1958,Beryl-Enterprise,49507,0,70,423,50000
1959,Beryl-Enterprise,56438,0,80,482,57000
1960,Beryl-Enterprise,64358,0,92,550,65000
1961,Beryl-Enterprise,58418,0,83,499,59000
1962,Beryl-Enterprise,61389,0,87,524,62000
1963,Beryl-Enterprise,63800,0,100,600,64500
1964,Beryl-Enterprise,70900,0,100,600,71600
1965,Beryl-Enterprise,69200,0,100,600,69900
1966,Beryl-Enterprise,78200,0,100,600,78900
1967,Beryl-Enterprise,70700,0,100,600,71400
1968,Beryl-Enterprise,73500,0,100,600,74200
1969,Beryl-Enterprise,70700,12600,100,600,84000
1970,Beryl-Enterprise,69300,0,100,600,70000
1971,Beryl-Enterprise,74200,0,100,600,74900
1972,Beryl-Enterprise,76400,0,100,600,77100
1973,Beryl-Enterprise,73400,0,25,600,74025
1974,Beryl-Enterprise,92800,0,25,600,93425
1975,Beryl-Enterprise,84500,0,100,600,85200
1976,Beryl-Enterprise,78300,0,300,650,79250
1977,Beryl-Enterprise,79500,0,300,750,80550
1978,Beryl-Enterprise,69600,0,300,750,70650
1979,Beryl-Enterprise,77400,0,370,750,78520
1980,Beryl-Enterprise,69600,0,370,750,70720
1981,Beryl-Enterprise,75100,16800,370,750,93020
1982,Beryl-Enterprise,79600,18200,320,750,98870
1983,Beryl-Enterprise,66500,18200,370,750,85820
1984,Beryl-Enterprise,65900,28300,390,750,95340
1985,Beryl-Enterprise,79300,19100,560,750,99710
1986,Beryl-Enterprise,72200,19200,420,750,92570
1987,Beryl-Enterprise,72900,23100,420,750,97170
1988,Beryl-Enterprise,67800,19500,410,750,88460
1989,Beryl-Enterprise,83800,0,410,750,84960
1990,Beryl-Enterprise,84600,400,500,750,86250
1991,Beryl-Enterprise,77000,600,400,750,78750
1992,Beryl-Enterprise,69600,600,550,750,71500
1993,Beryl-Enterprise,76400,600,400,750,78150
1994,Beryl-Enterprise,83800,600,470,750,85620
1995,Beryl-Enterprise,68600,600,410,750,70360
1996,Beryl-Enterprise,89600,600,530,750,91480
1997,Beryl-Enterprise,77800,2100,450,750,81100
1998,Beryl-Enterprise,72300,670,400,830,74200
1999,Beryl-Enterprise,75800,1800,520,830,78950
2000,Beryl-Enterprise,81100,1800,630,830,84360
2001,Beryl-Enterprise,77600,1800,650,520,80570
2002,Beryl-Enterprise,96300,1800,630,520,99250
2003,Beryl-Enterprise,89300,1800,600,550,92250
2004,Beryl-Enterprise,95200,1700,630,610,98140
2005,Beryl-Enterprise,65500,1700,500,640,68340
2006,Beryl-Enterprise,76400,1600,430,640,79070
2007,Beryl-Enterprise,88200,3000,450,640,92290
2008,Beryl-Enterprise,89900,1600,590,650,92740
2009,Beryl-Enterprise,89200,2900,610,650,93360
2010,Beryl-Enterprise,84600,3700,550,650,89500
2011,Beryl-Enterprise,79200,3700,460,650,84010
2012,Beryl-Enterprise,86500,3800,550,650,91500
2013,Beryl-Enterprise,88100,4100,540,650,93390
2014,Beryl-Enterprise,97500,4100,570,650,102820
2015,Beryl-Enterprise,88000,3800,650,650,93100
2016,Beryl-Enterprise,90000,3700,670,650,95020
2017,Beryl-Enterprise,86200,1900,1100,650,89850
2018,Beryl-Enterprise,96949,1543,757,650,99899
2019,Beryl-Enterprise,79895,1890,701,650,83136
2020,Beryl-Enterprise,110994,1808,916,650,114368
2021,Beryl-Enterprise,110923,2039,670,650,114282
