Year,Region,Irrigation_AF,Industrial_AF,Public Supply_AF,Domestic and Stock_AF,Total_AF
2023,Parowan,27961,229,849,360,29399
2022,Parowan,37158,289,935,360,38742
2021,Parowan,38437,307,874,360,39978
2020,Parowan,38464,333,815,360,39972
2019,Parowan,29780,157,666,360,30963
2018,Parowan,37492,59,1054,360,38965
2017,Parowan,34100,400,300,360,35160
2016,Parowan,35400,610,260,360,36630
2015,Parowan,33500,40,350,350,34240
2014,Parowan,35600,1400,440,350,37790
2013,Parowan,30900,200,320,350,31770
2012,Parowan,36900,200,300,350,37750
2011,Parowan,31500,200,300,350,32350
2010,Parowan,33200,360,530,350,34440
2009,Parowan,36100,100,530,340,37070
2008,Parowan,37300,100,350,330,38080
2007,Parowan,32800,100,350,330,33580
2006,Parowan,32600,0,300,330,33230
2005,Parowan,26500,15,490,310,27315
2004,Parowan,36400,10,590,410,37410
2003,Parowan,30700,0,350,300,31350
2002,Parowan,37900,0,500,200,38600
2001,Parowan,21900,0,90,200,22190
2000,Parowan,30000,0,90,300,30390
1999,Parowan,32900,0,80,280,33260
1998,Parowan,27700,120,90,250,28160
1997,Parowan,25000,190,30,250,25470
1996,Parowan,28100,0,520,250,28870
1995,Parowan,23100,0,470,250,23820
1994,Parowan,29000,0,1100,250,30350
1993,Parowan,27000,0,550,150,27700
1992,Parowan,30000,0,600,150,30750
1991,Parowan,31000,0,800,150,31950
1990,Parowan,29000,300,1300,700,31300
1989,Parowan,27000,300,1300,200,28800
1988,Parowan,19600,300,70,200,20170
1987,Parowan,20400,300,670,200,21570
1986,Parowan,23100,300,100,200,23700
1985,Parowan,24500,300,300,200,25300
1984,Parowan,21000,300,100,200,21600
1983,Parowan,21800,300,100,200,22400
1982,Parowan,24100,300,200,200,24800
1981,Parowan,26100,300,400,200,27000
1980,Parowan,27600,350,300,150,28400
1979,Parowan,28600,350,500,150,29600
1978,Parowan,28400,250,350,150,29150
1977,Parowan,32800,100,250,150,33300
1976,Parowan,33500,0,250,150,33900
1975,Parowan,27900,0,150,150,28200
1974,Parowan,29500,0,1010,150,30660
1973,Parowan,24400,0,1000,150,25550
1972,Parowan,27500,300,100,150,28050
1971,Parowan,23500,300,100,150,24050
1970,Parowan,25300,0,100,150,25550
1969,Parowan,20000,0,100,150,20250
1968,Parowan,21300,0,100,150,21550
1967,Parowan,17300,0,100,150,17550
1966,Parowan,19300,0,100,150,19550
1965,Parowan,15000,0,100,150,15250
1964,Parowan,16000,0,100,150,16250
1963,Parowan,14000,0,100,150,14250
1962,Parowan,11817,0,73,110,12000
1961,Parowan,10832,0,67,101,11000
1960,Parowan,13786,0,86,128,14000
1959,Parowan,12802,0,79,119,13000
1958,Parowan,12802,0,79,119,13000
1957,Parowan,12802,0,79,119,13000
1956,Parowan,14771,0,92,137,15000
1955,Parowan,12802,0,79,119,13000
1954,Parowan,12802,0,79,119,13000
1953,Parowan,10832,0,67,101,11000
1952,Parowan,10832,0,67,101,11000
1951,Parowan,10832,0,67,101,11000
1950,Parowan,9847,0,61,92,10000
1949,Parowan,9847,0,61,92,10000
1948,Parowan,9847,0,61,92,10000
1947,Parowan,8863,0,55,82,9000
1946,Parowan,9847,0,61,92,10000
1945,Parowan,8863,0,55,82,9000
1940,Parowan,5908,0,37,55,6000
1939,Parowan,5908,0,37,55,6000
1938,Parowan,4923,0,31,46,5000
1937,Parowan,NA,0,NA,NA,NA
